KULLABERG,"Swivel chair, black",903.255.18,Designer Sarah Fager,http://www.ikea.com/PIAimages/0410010_PE577747_S3.JPG
KULLABERG,"Swivel chair, pine, black",103.203.41,Designer Sarah Fager,http://www.ikea.com/PIAimages/0410020_PE577748_S3.JPG
ÄLMSTA,"Chair, rattan, black",802.340.19,IKEA of Sweden,http://www.ikea.com/PIAimages/0154292_PE312641_S3.JPG
ADDE,"Chair, white",102.191.78,Marcus Arvonen,http://www.ikea.com/PIAimages/0174114_PE328020_S3.JPG
ADDE,"Chair, black",902.142.85,Marcus Arvonen,http://www.ikea.com/PIAimages/0174112_PE328016_S3.JPG
HENRIKSDAL,"Chair frame, oak",303.096.82,IKEA of Sweden,http://www.ikea.com/PIAimages/0094469_PE232339_S3.JPG
HENRIKSDAL,"Chair cover, Remvallen blue/white",903.347.92,IKEA of Sweden,http://www.ikea.com/PIAimages/0422253_PE578427_S3.JPG
HENRIKSDAL,"Chair cover, Hovsten gray/white",203.363.70,IKEA of Sweden,http://www.ikea.com/PIAimages/0421682_PE577971_S3.JPG
HENRIKSDAL,"Chair cover, Nolhaga gray-beige",703.016.36,IKEA of Sweden,http://www.ikea.com/PIAimages/0314966_PE513824_S3.JPG
HENRIKSDAL,"Chair cover, Linneryd natural",901.876.68,IKEA of Sweden,http://www.ikea.com/PIAimages/0143734_PE303240_S3.JPG
HENRIKSDAL,"Chair cover, long, Blekinge white",701.546.78,IKEA of Sweden,http://www.ikea.com/PIAimages/0143756_PE303255_S3.JPG
HENRIKSDAL,"Chair cover, long, Remvallen blue/white",703.347.93,IKEA of Sweden,http://www.ikea.com/PIAimages/0421896_PE578097_S3.JPG
HENRIKSDAL,"Chair cover, long, Risane gray",903.016.40,IKEA of Sweden,http://www.ikea.com/PIAimages/0367819_PE549325_S3.JPG
BRORINGE,"Underframe, chrome plated",102.886.28,Mia Lagerman,http://www.ikea.com/PIAimages/0375994_PE553899_S3.JPG
DIETMAR,"Underframe for armchair, chrome plated",702.886.30,Mia Lagerman,http://www.ikea.com/PIAimages/0375996_PE553902_S3.JPG
ERNFRID,"Underframe, birch, silver color",002.879.74,Mia Lagerman,http://www.ikea.com/PIAimages/0375998_PE553898_S3.JPG
LEIFARNE,"Seat shell, light blue",102.919.18,Mia Lagerman,http://www.ikea.com/PIAimages/0376001_PE553896_S3.JPG
LEIFARNE,"Seat shell, white",302.886.32,Mia Lagerman,http://www.ikea.com/PIAimages/0376000_PE553897_S3.JPG
SVENBERTIL,"Seat shell, birch",502.919.16,Mia Lagerman,http://www.ikea.com/PIAimages/0376003_PE553895_S3.JPG
NILS,"Chair frame with armrests, black",501.316.21,Mikael Warnhammar,http://www.ikea.com/PIAimages/0368620_PE549629_S3.JPG
NILS,"Armchair cover, Blekinge white",301.316.22,Mikael Warnhammar,http://www.ikea.com/PIAimages/0368621_PE549627_S3.JPG
NILS,"Armchair cover, Skiftebo dark gray",602.932.84,IKEA of Sweden,http://www.ikea.com/PIAimages/0449217_PE598744_S3.JPG
HENRIKSDAL,"Chair cover, Gräsbo white",203.366.00,IKEA of Sweden,http://www.ikea.com/PIAimages/0462762_PE608312_S3.JPG
HENRIKSDAL,"Chair cover, Finnsta turquoise",703.366.07,IKEA of Sweden,http://www.ikea.com/PIAimages/0462730_PE608310_S3.JPG
SALTHOLMEN,"Chair, outdoor, foldable beige",803.118.28,Jon Karlsson,http://www.ikea.com/PIAimages/0445471_PE595804_S3.JPG
